Number of communities:	20
Community 0	['10', '103', '107', '11', '1166', '12', '1212', '1238', '1240', '128', '13', '1324', '1378', '1383', '14', '1457', '1463', '1473', '1493', '1497', '15', '1507', '1524', '1528', '1529', '1530', '1531', '1533', '1534', '1535', '1536', '1537', '1538', '1540', '1541', '1543', '1544', '1545', '1546', '1547', '1549', '1550', '1551', '1552', '1553', '1554', '1555', '1556', '1571', '1572', '1573', '1576', '1579', '1587', '1588', '1589', '1590', '1591', '1592', '1593', '1594', '1595', '1596', '1597', '1598', '1599', '16', '1601', '1602', '1603', '1604', '1605', '1606', '1607', '1609', '1610', '1611', '1612', '1614', '1615', '1616', '1617', '1618', '1619', '1620', '1621', '1622', '1623', '1624', '1626', '1627', '1628', '1629', '1630', '1631', '1632', '1633', '1634', '1635', '1636', '1637', '1638', '1639', '1640', '1641', '1642', '1643', '1644', '1645', '1646', '1647', '1648', '1650', '1651', '1652', '1653', '1654', '1656', '1657', '1658', '1659', '1660', '1661', '1662', '1665', '1666', '1667', '1668', '1669', '1670', '1672', '1675', '1676', '1679', '1681', '1682', '1684', '1688', '1692', '1694', '1695', '17', '1707', '19', '196', '2', '20', '201', '202', '205', '212', '215', '217', '219', '22', '222', '223', '229', '23', '234', '238', '24', '240', '244', '245', '247', '250', '252', '253', '254', '255', '256', '259', '263', '264', '265', '266', '267', '27', '270', '273', '275', '276', '278', '280', '284', '286', '287', '288', '289', '29', '290', '291', '294', '295', '296', '297', '298', '299', '300', '301', '302', '303', '304', '307', '308', '311', '312', '313', '314', '315', '316', '317', '318', '319', '32', '320', '321', '322', '323', '325', '326', '329', '330', '332', '333', '334', '335', '337', '339', '34', '341', '342', '343', '345', '346', '349', '352', '353', '354', '360', '362', '364', '366', '372', '374', '377', '378', '38', '380', '387', '39', '40', '403', '404', '405', '408', '409', '41', '410', '411', '412', '414', '415', '416', '418', '419', '420', '421', '422', '423', '424', '427', '428', '429', '430', '431', '432', '433', '434', '435', '436', '437', '438', '439', '440', '441', '442', '443', '444', '445', '447', '448', '449', '450', '451', '452', '453', '454', '455', '456', '457', '458', '459', '46', '460', '461', '462', '463', '464', '465', '466', '467', '468', '470', '471', '472', '473', '474', '475', '476', '477', '478', '479', '480', '481', '482', '483', '484', '485', '486', '487', '488', '489', '490', '491', '492', '493', '494', '497', '498', '499', '500', '501', '502', '503', '504', '505', '506', '507', '508', '509', '510', '511', '512', '513', '514', '515', '516', '517', '518', '519', '52', '520', '521', '522', '523', '524', '525', '526', '527', '528', '529', '530', '531', '532', '534', '535', '536', '537', '538', '539', '54', '540', '542', '543', '544', '545', '546', '547', '548', '549', '550', '551', '552', '553', '554', '555', '556', '557', '558', '559', '56', '560', '561', '562', '563', '564', '565', '566', '567', '568', '569', '570', '571', '572', '573', '574', '575', '576', '577', '578', '579', '580', '581', '582', '583', '584', '585', '586', '587', '588', '589', '590', '591', '592', '593', '594', '595', '596', '597', '598', '599', '6', '601', '602', '603', '604', '605', '606', '607', '608', '609', '610', '611', '612', '613', '614', '615', '616', '617', '618', '619', '620', '621', '622', '623', '624', '625', '626', '627', '628', '629', '630', '631', '632', '633', '634', '635', '636', '637', '638', '639', '640', '641', '642', '644', '645', '646', '647', '648', '649', '650', '651', '652', '653', '654', '656', '657', '658', '659', '660', '661', '662', '663', '664', '665', '666', '667', '669', '670', '671', '672', '673', '674', '675', '676', '677', '678', '679', '681', '682', '684', '685', '686', '687', '688', '689', '690', '691', '692', '693', '694', '695', '696', '697', '698', '699', '7', '702', '703', '705', '706', '707', '708', '710', '711', '713', '715', '716', '717', '719', '721', '723', '724', '725', '726', '727', '729', '730', '731', '733', '734', '735', '737', '738', '739', '742', '744', '746', '747', '749', '750', '751', '754', '755', '758', '759', '760', '764', '765', '766', '767', '769', '770', '771', '773', '774', '777', '778', '779', '78', '783', '784', '788', '794', '796', '797', '798', '799', '8', '80', '800', '802', '803', '806', '809', '814', '816', '819', '821', '822', '824', '827', '828', '830', '836', '853', '866', '9', '919', '934', '97', '977', '979', '982']
Community 1	['1000', '1002', '1003', '1004', '1005', '1006', '1007', '1008', '1009', '1010', '1011', '1012', '1014', '1016', '1017', '1018', '1019', '1020', '1021', '1022', '1023', '1024', '1025', '1026', '1027', '1028', '1029', '1030', '1031', '1032', '1034', '1035', '1037', '1038', '1042', '1044', '1045', '1046', '1047', '1048', '1049', '1051', '1052', '1053', '1055', '1056', '1057', '1060', '1061', '1062', '1063', '1066', '1067', '1068', '1069', '1070', '1071', '1072', '1074', '1075', '1076', '1078', '1079', '1081', '1082', '1084', '1085', '1086', '1088', '1089', '1090', '1091', '1092', '1093', '1094', '1095', '1097', '1098', '110', '1101', '1102', '1103', '1104', '1105', '1109', '111', '1110', '1112', '1113', '1114', '1115', '1116', '1117', '1118', '1119', '112', '1120', '1121', '1122', '1126', '1127', '1128', '1129', '1130', '1131', '1132', '1133', '1135', '1136', '1142', '1143', '1144', '1145', '1148', '1149', '1150', '1152', '1153', '1154', '1155', '1156', '1157', '1159', '1161', '1162', '1163', '1164', '1168', '1169', '1170', '1171', '1173', '1174', '1175', '1176', '1178', '1179', '118', '1180', '1181', '1182', '1186', '1189', '1190', '1191', '1192', '1193', '1194', '1195', '1196', '1197', '1198', '1199', '1200', '1201', '1202', '1203', '1204', '1205', '1208', '1209', '121', '1211', '1213', '1214', '1216', '1218', '1219', '1220', '1222', '1224', '1225', '1226', '1228', '1231', '1232', '1233', '1234', '1235', '1236', '1237', '1241', '1244', '1246', '1248', '1249', '125', '1250', '1251', '1252', '1253', '1255', '1256', '1257', '1259', '1260', '1261', '1262', '1264', '1265', '1267', '1269', '127', '1270', '1272', '1274', '1275', '1277', '1278', '1279', '1280', '1281', '1284', '1285', '1286', '1288', '1290', '1292', '1295', '1297', '1299', '130', '1304', '1305', '1306', '1307', '1309', '1312', '1313', '1316', '1317', '1318', '1321', '1322', '1325', '1327', '1328', '1330', '1332', '1333', '1335', '1337', '1338', '1339', '134', '1343', '1344', '1345', '1348', '1350', '1352', '1354', '1358', '1363', '1365', '1373', '1374', '1375', '1382', '1384', '1386', '1387', '1389', '139', '1395', '1399', '1401', '1403', '1405', '1409', '1413', '142', '1432', '1434', '1442', '1443', '1449', '1452', '1458', '1462', '147', '1476', '1481', '1483', '1496', '1499', '1515', '1532', '156', '1582', '159', '1625', '1690', '1691', '1696', '1697', '1698', '1700', '171', '1710', '1715', '1717', '172', '1720', '1722', '1723', '1726', '1731', '1733', '1735', '1736', '1739', '1740', '1741', '1742', '1743', '1744', '1745', '1746', '1748', '1751', '1753', '1758', '1759', '1761', '1763', '1764', '1772', '1773', '1774', '1775', '1776', '1777', '178', '180', '183', '195', '199', '206', '207', '210', '220', '221', '225', '232', '233', '237', '249', '251', '272', '327', '328', '331', '336', '344', '359', '36', '363', '371', '375', '384', '390', '400', '402', '407', '413', '42', '446', '45', '47', '49', '50', '51', '541', '55', '59', '60', '61', '62', '643', '65', '69', '70', '728', '73', '732', '743', '748', '75', '752', '753', '780', '785', '793', '795', '804', '807', '808', '810', '811', '812', '818', '826', '832', '834', '837', '840', '842', '845', '847', '851', '858', '864', '865', '868', '87', '875', '876', '877', '879', '881', '882', '884', '885', '886', '890', '891', '896', '898', '900', '902', '903', '905', '906', '909', '910', '911', '912', '913', '914', '915', '916', '917', '921', '922', '923', '926', '930', '931', '932', '935', '936', '938', '939', '940', '941', '942', '943', '944', '945', '947', '948', '949', '95', '950', '952', '955', '956', '957', '958', '96', '961', '962', '964', '965', '966', '967', '968', '969', '970', '971', '972', '973', '974', '978', '98', '981', '983', '985', '986', '987', '988', '99', '991', '993', '994', '996', '997', '998']
Community 2	['100', '1001', '101', '1013', '1015', '102', '1036', '104', '1040', '105', '1054', '1058', '1059', '106', '108', '1080', '1083', '1087', '109', '1099', '1106', '1107', '1108', '1111', '1123', '1125', '1134', '1138', '1139', '114', '1140', '1146', '115', '1158', '116', '1160', '117', '1177', '1183', '1184', '1187', '1188', '120', '1207', '1210', '1215', '1217', '122', '1221', '1223', '1227', '1229', '123', '1230', '1239', '124', '1242', '1243', '1245', '1258', '126', '1263', '1266', '1268', '1271', '1273', '1276', '1282', '1283', '1287', '129', '1291', '1293', '1294', '1296', '1298', '1300', '1302', '1303', '1308', '131', '1310', '1311', '1314', '1315', '1319', '132', '1320', '1323', '1326', '1329', '133', '1334', '1336', '1341', '1346', '1349', '135', '1351', '1353', '1355', '1356', '1357', '1359', '136', '1360', '1361', '1362', '1364', '1366', '1368', '1369', '137', '1370', '1371', '1372', '1376', '1377', '1379', '1380', '1381', '1385', '1388', '1391', '1392', '1393', '1394', '1397', '1398', '140', '1400', '1402', '1404', '1406', '141', '1410', '1411', '1412', '1414', '1416', '1419', '1420', '1422', '1423', '1426', '1427', '1429', '143', '1430', '1431', '1435', '1437', '1438', '144', '1444', '1446', '145', '1451', '1455', '146', '1470', '1474', '1477', '1478', '1479', '148', '1482', '1484', '1485', '1486', '1487', '1488', '1489', '149', '1491', '1492', '1494', '1495', '1498', '150', '1500', '1502', '1503', '1504', '1505', '1506', '1508', '1510', '1511', '1514', '1518', '152', '1523', '1526', '153', '1539', '154', '1542', '1548', '155', '1557', '1558', '1560', '1561', '1562', '1563', '1564', '1565', '1566', '1567', '1568', '1569', '157', '1570', '1574', '1575', '1577', '1578', '158', '1580', '1581', '1583', '1584', '1586', '160', '161', '162', '163', '164', '165', '166', '167', '168', '1687', '1689', '169', '170', '1704', '1721', '1724', '1725', '1728', '173', '1734', '1737', '1738', '174', '1747', '1749', '175', '1750', '1752', '1754', '1756', '1757', '176', '1762', '1765', '1766', '1767', '1768', '177', '1778', '179', '18', '181', '182', '184', '185', '186', '187', '188', '189', '190', '191', '193', '194', '197', '198', '200', '203', '204', '209', '21', '214', '218', '25', '26', '277', '28', '283', '292', '293', '3', '30', '305', '306', '324', '340', '348', '35', '350', '351', '355', '358', '361', '365', '37', '373', '376', '379', '381', '382', '383', '385', '386', '388', '389', '391', '392', '393', '394', '395', '396', '397', '398', '399', '4', '401', '406', '426', '43', '44', '48', '53', '58', '63', '64', '67', '68', '71', '714', '74', '76', '763', '775', '789', '79', '790', '792', '81', '813', '815', '82', '823', '83', '831', '838', '84', '843', '848', '859', '86', '863', '88', '89', '894', '90', '907', '91', '92', '920', '924', '925', '93', '933', '94', '951', '953', '954', '959', '960', '963', '975', '980', '984', '989', '990', '992']
Community 3	['1033', '1041', '1050', '1073', '1147', '1165', '1172', '1185', '1206', '1247', '1254', '1289', '1301', '1331', '1342', '1347', '1367', '1390', '1396', '1407', '1408', '1415', '1417', '1418', '1421', '1424', '1425', '1428', '1433', '1436', '1439', '1440', '1441', '1445', '1447', '1448', '1450', '1453', '1454', '1456', '1459', '1460', '1461', '1464', '1465', '1466', '1467', '1468', '1469', '1471', '1559', '1608', '1664', '1671', '1673', '1685', '1686', '1699', '1701', '1702', '1703', '1705', '1706', '1708', '1709', '1711', '1712', '1713', '1714', '1716', '1718', '1719', '1727', '1755', '1760', '1769', '1770', '1771', '1779', '1780', '1781', '192', '309', '338', '347', '356', '357', '367', '368', '369', '370', '496', '680', '701', '704', '712', '718', '720', '741', '745', '761', '762', '781', '787', '791', '805', '817', '825', '829', '833', '835', '841', '844', '846', '849', '850', '852', '854', '855', '856', '857', '860', '861', '862', '867', '869', '870', '871', '872', '873', '874', '878', '880', '883', '887', '888', '889', '892', '893', '895', '897', '899', '901', '908', '918', '927', '928', '929', '937', '946', '976', '995', '999']
Community 4	['1509', '1512', '1513', '1516', '1517', '1519', '1520', '1521', '1522', '1525', '1613', '1649', '208', '211', '213', '216', '224', '226', '227', '228', '230', '231', '235', '236', '239', '241', '242', '243', '246', '248', '257', '258', '260', '261', '262', '268', '269', '271', '274', '281', '285', '495', '533', '600', '655', '700', '722', '801']
Community 5	['1340', '1677', '1680', '1683', '1693', '709', '736', '740', '756', '768', '772', '776', '782', '786', '820', '839', '904']
Community 6	['1', '113', '119', '1472', '1480', '1490', '31', '5', '57', '72', '77']
Community 7	['1039', '1043', '1077', '1151', '1730', '279', '282']
Community 8	['1096', '1100', '1137', '1674']
Community 9	['1065', '1141', '1167', '1729']
